,store,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,holiday_flag_was_missing,temperature_was_missing,fuel_price_was_missing,cpi_was_missing,unemployment_was_missing,year,month,day,dow
0,13.0,2035431.39,0.0,61.11,3.788,130.95922579999998,5.965,False,False,False,False,False,2012,1,6,4
1,17.0,829207.27,0.0,60.07,2.853,126.2346,6.885,False,False,False,False,False,2010,1,10,6
2,10.0,1990371.02,0.0,57.62,3.882,130.6457931,7.545,False,False,False,False,False,2012,2,3,4
3,7.0,561145.14,0.0,38.26,2.725,189.7048215,8.963,False,False,False,False,False,2010,2,4,3
4,19.0,1549018.68,0.0,66.25,2.958,132.5218667,8.099,False,False,False,False,False,2010,2,7,6
5,13.0,2018314.71,0.0,78.82,2.814,126.1392,7.951,False,False,False,False,False,2010,2,7,6
6,20.0,2203523.2,0.0,39.93,3.617,213.0236225,6.961,False,False,False,False,False,2012,3,2,4
7,15.0,695396.19,0.0,69.8,4.069,134.85516130000002,7.657999999999999,False,False,False,False,False,2011,3,6,6
8,19.0,1405007.44,0.0,50.76,4.124,138.0332,8.15,False,False,False,False,False,2012,4,5,3
9,3.0,396968.8,0.0,78.53,2.705,214.4958382,7.343,False,False,False,False,False,2010,4,6,1
10,3.0,461622.22,0.0,45.71,2.572,214.4248812,7.3679999999999986,False,False,False,False,False,2010,5,2,6
11,1.0,1624383.75,0.0,91.65,3.684,215.544618,7.9620000000000015,True,False,False,False,False,2011,5,8,6
12,2.0,1799520.14,0.0,46.75,2.95,219.355063,7.057,False,False,True,False,False,2012,6,1,4
14,14.0,2095599.93,0.0,66.04583333333333,4.046,185.9374378,8.521,False,True,False,False,False,2011,6,5,6
15,10.0,1805999.79,0.0,86.87,3.666,130.7196333,7.17,False,False,False,False,False,2012,6,7,3
16,18.0,1166117.85,0.0,73.67,2.792,132.6141935,9.342,False,False,False,False,False,2010,6,8,1
17,2.0,1758050.79,0.0,44.69,2.9760000000000004,211.0648881,8.027999999999999,False,False,False,False,False,2011,7,1,4
18,14.0,1864746.1,0.0,34.32,3.193,182.5983058,8.75,False,False,False,False,True,2011,7,1,4
19,7.0,597876.55,1.0,57.84,3.596,198.0950484,7.872000000000001,False,False,False,False,False,2012,7,9,0
20,3.0,403342.4,0.0,75.54,3.285,218.011,7.197,False,False,False,True,False,2011,7,10,6
21,4.0,2066541.86,0.0,84.59,3.469,129.1125,5.644,True,False,False,False,False,2011,8,7,6
22,16.0,614253.33,0.0,61.79,2.7110000000000003,189.5231276,6.867999999999999,False,False,False,False,False,2010,9,7,1
23,9.0,485389.15,0.0,78.51,2.642,214.6564301,6.442,True,False,False,False,False,2010,9,7,1
24,7.0,563460.77,1.0,18.79,3.103,196.9195056,8.256,False,False,False,False,False,2012,10,2,1
25,14.0,2077256.24,1.0,37.0,2.788,218.312,8.424,False,False,True,True,False,2012,10,2,1
26,19.0,1467473.63,0.0,68.26,2.788,134.94254840000002,7.657999999999999,False,False,True,False,False,2011,10,6,3
28,13.0,2461468.35,0.0,36.78,2.817,126.7934,7.795,False,False,False,False,False,2010,10,12,1
29,14.0,2600519.26,0.0,30.54,3.109,218.439,8.8,False,False,False,True,True,2010,10,12,1
30,4.0,2302504.86,0.0,42.4,2.86,126.7934,7.127000000000002,False,False,False,False,False,2010,10,12,1
31,3.0,431985.36,0.0,75.19,3.688,225.2351496,6.664,False,False,False,False,False,2012,11,5,0
32,17.0,845252.21,0.0,57.14,2.841,126.1119032,8.7,False,False,False,False,True,2010,11,6,5
33,5.0,311906.7,0.0,60.71,3.297,218.5699621,6.3,False,False,False,False,False,2011,11,11,4
34,1.0,1641957.44,1.0,38.51,2.548,211.24216980000003,8.106,False,False,False,False,False,2010,12,2,3
35,8.0,994801.4,1.0,33.34,2.548,214.62141890000004,6.299,False,False,False,False,False,2010,12,2,3
36,8.0,860336.16,0.0,49.76,2.871,214.7492449,6.299,False,False,True,False,False,2010,12,3,4
38,8.0,856796.1,0.0,86.05,3.638,219.0075249,8.7,False,False,False,False,True,2011,12,8,3
39,13.0,1970341.38,0.0,75.95,3.606,129.2015806,6.877000000000002,False,False,False,False,False,2011,12,8,3
40,18.0,1074079.0,0.0,50.97,4.029,138.9117,8.243,False,False,False,False,False,2012,12,10,0
41,17.0,919878.34,0.0,44.82,3.797,131.1083333,5.527,False,False,False,False,False,2012,12,10,0
42,5.0,301827.36,0.0,62.37,2.912,212.5604113,6.768,False,False,True,False,False,2010,12,11,5
43,2.0,1916812.74,0.0,59.69,2.728,211.6608975,8.163,False,False,False,False,False,2010,12,11,5
44,17.0,855459.96,0.0,36.50416666666667,2.8310000000000004,126.5461613,8.7,False,True,False,False,True,2010,12,11,5
45,3.0,367438.62,0.0,51.86,3.261,219.179,6.832999999999998,False,False,False,True,False,2012,1,13,4
46,5.0,290930.01,0.0,77.38,3.899,216.5343611,6.489,False,False,False,False,False,2011,5,13,4
47,7.0,414094.05,0.0,36.61,3.767,192.826069,8.595,False,False,False,False,False,2011,5,13,4
48,1.0,1494251.5,0.0,74.78,2.854,210.3374261,7.808,False,False,False,False,False,2010,5,14,4
49,16.0,526525.16,0.0,29.110416666666666,3.659,198.1267184,6.061,False,True,False,False,False,2012,9,14,4
50,18.0,988157.72,0.0,29.110416666666666,3.823,134.2784667,8.975,False,True,False,False,False,2011,4,15,4
51,14.0,1953544.76,0.0,78.47,3.76,186.1399808,8.625,False,False,False,False,False,2011,7,15,4
52,18.0,1029618.1,0.0,52.02,2.878,132.7633548,9.331,False,False,False,False,False,2010,10,15,4
53,13.0,2025582.62,0.0,52.5,3.529,130.82619350000002,6.104,False,False,False,False,False,2012,3,16,4
54,1.0,1677472.78,0.0,64.74,3.734,221.2118132,7.348,False,False,False,False,False,2012,3,16,4
55,15.0,570611.23,0.0,47.42,4.021,137.5843871,7.943,False,False,False,False,False,2012,3,16,4
